title,difficulty,serves,rating,vegetarian,vegan,dairy_free,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
Lemon curd pavlova,More effort,Serves 6,,TRUE,FALSE,FALSE,FALSE,Prep:30 mins,Cook:1 hr and 20 mins,,"['4 egg whites (use the yolks in another recipe)', '250g caster sugar', 'cornflour', '1 lemon; ½ finely zested; ½ zest pared; plus 1 tsp juice', 'lemon curd', '300ml double cream', '2 tbsp icing sugar', 'edible flowers; to decorate (optional)']",https://www.bbcgoodfood.com/recipes/giant-yorkshire-pudding-sunday-lunch
Honey harissa lamb chops,Easy,Serves 4,,FALSE,FALSE,FALSE,TRUE,Prep:10 mins,Cook:30 mins,,"['2 tsp ground cumin', 'ground coriander', '2 garlic cloves; crushed', '1 tsp dried oregano', '½ lemon; zested and juiced', '2 tbsp olive oil', '8 lamb chops', 'rose harissa', '1 tbsp honey']",https://www.bbcgoodfood.com/recipes/passion-fruit-mule
Peach tarte tatin,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:30 mins,,"['shop-bought puff pastry', '30g unsalted butter', '2 tbsp caster sugar', '2 peaches; stoned and sliced into 16 wedges each', ' to serve (optional)']",https://www.bbcgoodfood.com/recipes/lemon-curd-pavlova
Gooseberry buckle cake,Easy,Serves 8,,TRUE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:1 hr and 10 mins,,"['200g unsalted butter; softened; plus extra for the tin', '200g golden caster sugar', '1 tsp vanilla extract', '3 eggs', '200g plain flour', '2 tsp baking powder', '50g ground almonds', 'soured cream', '60g plain flour', '50g cold unsalted butter; cut into cubes', '60g golden caster sugar', '60g porridge oats', '25g flaked almonds', '500g fresh or frozen gooseberries (see tip below; a mixture of green and pink if available)', '2 tbsp caster sugar']",https://www.bbcgoodfood.com/recipes/honey-harissa-lamb-chops
Ploughman’s sandwich,Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,,,"['medium baguette', 'mayo', '1 heaped tsp wholegrain mustard', '½ small  Braeburn apple', 'ham', '50g cheddar; sliced', '2 tbsp pickle or chutney', 'handful of rocket']",https://www.bbcgoodfood.com/recipes/peach-tarte-tatin
Beer can chicken,Easy,Serves 4 - 6,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:1 hr and 20 mins,,"['1.8kg chicken', '3 tbsp olive oil', 'can of beer', '1 tbsp muscovado sugar', '1 tbsp sweet smoked paprika', 'cayenne pepper', '2 tsp English mustard powder', '2 tsp thyme', '1½ tsp celery salt']",https://www.bbcgoodfood.com/recipes/gooseberry-buckle-cake
"Blue cheese, ham & egg toastie",Easy,Makes 2 sandwiches,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:10 mins,,"['50g salted butter', '4 slices sourdough', 'slices thick-cut ham', '100g pear chutney', 'blue cheese;', '; for frying', '2 eggs', 'gherkins;']",https://www.bbcgoodfood.com/recipes/ploughmans-sandwich
Parmentier polenta chips,Easy,Serves 4,,TRUE,TRUE,TRUE,TRUE,Prep:10 mins,Cook:25 mins,,"['250g polenta', '4 tbsp olive oil', '2 large rosemary sprigs (about 5cm long); needles picked and finely chopped']",https://www.bbcgoodfood.com/recipes/beer-can-chicken
"Smoked haddock, chorizo & cheddar croquettes",More effort,Makes 35,,FALSE,FALSE,FALSE,FALSE,Prep:1 hr,Cook:45 mins,,"['500ml whole milk', '2 smoked haddock fillets (about 380g)', '225g chorizo; cut into small cubes', '80g unsalted butter', '160g plain flour; plus extra for dusting', '100g mature cheddar; grated', 'chopped chives', '2 tbsp finely chopped flat-leaf parsley', '2 eggs; beaten', '100g panko breadcrumbs', '; for deep-frying']",https://www.bbcgoodfood.com/recipes/blue-cheese-ham-egg-toastie
Guinness chocolate puddings,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:25 mins,Cook:18 mins,,"['150g unsalted butter; plus extra for the ramekins', '200g dark chocolate (70% cocoa); roughly chopped', '90g golden caster sugar', '3 large eggs', 'Guinness', 'clotted cream or thick double cream; to serve (optional)']",https://www.bbcgoodfood.com/recipes/parmentier-polenta-chips
Pork chop with creamy leeks,Easy,Serves 4,,FALSE,FALSE,FALSE,TRUE,Prep:10 mins,Cook:15 mins,,"['4 thick-cut pork chops', '2 tsp olive oil', '2 large leeks; cut into 1cm-thick discs', '300ml single cream', '50g parmesan; grated']",https://www.bbcgoodfood.com/recipes/smoked-haddock-chorizo-cheddar-croquettes
Chilli & tomato jam,Easy,Makes  1 x 500ml jar,,TRUE,TRUE,TRUE,TRUE,Prep:15 mins,Cook:1 hr and 15 mins,,"['2 tbsp olive oil', 'banana shallots;', '2 garlic cloves; finely chopped', '1 tsp fennel seeds', '2-3 chillies of your choice; finely chopped (deseeded; if you prefer less heat)', '800g cherry tomatoes; halved', '275g light brown soft sugar', 'white wine vinegar']",https://www.bbcgoodfood.com/recipes/guinness-chocolate-puddings
Steak & chips pie,More effort,Serves 6,,FALSE,FALSE,FALSE,FALSE,Prep:20 mins,Cook:3 hrs and 30 mins,,"['2 tbsp sunflower oil; plus extra for the dish', '750g-1kg braising steak  (or topside) sliced into 6 thin steaks (buy a joint and do it yourself if you can’t find any already sliced)', '2 onions; chopped', '4 medium carrots; chopped', 'treacle', '1 tbsp plain flour', 'red wine', 'beef stock cubes', 'small bunch thyme; half of the leaves picked for the pastry and reserved', 'bay leaves', 'shortcrust pastry', 'flour;  for dusting', 'dried porcini mushroom powder', 'thyme leaves; from the bunch used for the beef', 'frozen oven chips']",https://www.bbcgoodfood.com/recipes/pork-chop-with-creamy-leeks
Brown sugar pavlova with fruit,More effort,Serves 10,,TRUE,FALSE,FALSE,TRUE,Prep:30 mins,Cook:50 mins,,"['150g light brown soft sugar', '150g golden caster sugar', '6 medium egg whites (about 180g)', '1 tsp vanilla extract', '1 peach; destoned and sliced', '150g raspberries', '150g strawberries; hulled and quartered', '130g pineapple chunks', 'passion fruits;', '450ml double cream', '2 tbsp icing sugar', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/chilli-tomato-jam
Pork with cucumber & apricot couscous,More effort,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:20 mins,Cook:40 mins,,"['coriander', '4 small garlic cloves; chopped', '2 tsp sumac', '1 tbsp olive oil', '400g pork fillet', '1½ tsp smoked paprika', 'drop of olive oil; for roasting', '2 red onions; halved and sliced', '1 aubergine; cut into 1cm cubes', 'giant couscous', 'small bunch of  spring onions (about 100g); sliced', 'cucumber', '1 lemon; zested plus 2 tbsp juice', '2 tbsp extra virgin olive oil', '15g mint; leaves chopped', '8 fresh apricots (about 320g)', '25g toasted flaked  almonds']",https://www.bbcgoodfood.com/recipes/steak-chips-pie
Bourbon & honey-glazed brisket with soured cream & chive mash,More effort,Serves 6-8,,FALSE,FALSE,FALSE,TRUE,Prep:15 mins,Cook:8 hrs,,"['vegetable oil', '2-2½ kg piece beef brisket; rolled and tied (ask your butcher to do this for you)', '1 tbsp smoked paprika', '1 tbsp English mustard powder', 'dried onion powder', '1 tsp ground cinnamon', 'pinch dried ground cloves', '6 tbsp light brown soft sugar', '100g honey', '50ml bourbon whiskey; plus 2 tbsp', '2 red onions; sliced', 'bay leaves', '4-6 small carrots; peeled and halved or quartered lengthways or 300g Chantenay carrots', 'red wine vinegar', '4-6 large baking potatoes; unpeeled', 'soured cream', '75g butter; plus extra to serve', 'splash of milk', 'chives']",https://www.bbcgoodfood.com/recipes/brown-sugar-pavlova-with-fruit
Classic fish & chips,More effort,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:25 mins,Cook:30 mins,,"['about 1 litre sunflower oil; for frying', '2 thick skinless fillets of whiting; ling; pollock; haddock or cod (about 150g each)', '2 large Maris Piper potatoes', 'malt vinegar;', '75g self-raising flour; plus extra for dusting', 'cornflour', 'small pinch of ground turmeric', 'cold lager', 'cornichons', '1 tsp capers', '1 shallot', 'handful of parsley leaves; chopped', 'mayonnaise']",https://www.bbcgoodfood.com/recipes/pork-with-cucumber-apricot-couscous
Breakfast pancake platter,Easy,Serves 4 (makes 14-16 pancakes),,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['wholemeal plain spelt flour', '2 eggs; whites and yolks separated', 'semi-skimmed milk', 'oil;', '100g cooked salmon; broken into large flakes', 'low-fat soft cheese', 'cucumber;', '1⁄2 lemon; cut into wedges', '1 small red onion; thinly sliced', '2 x 120g pots natural bio yogurt', '1 banana; peeled and sliced', 'mixed berries', 'capers dill and sliced spring onions; walnuts; mixed seeds; ground cinnamon and maple syrup; to serve (optional)']",https://www.bbcgoodfood.com/recipes/bourbon-honey-glazed-brisket-soured-cream-chive-mash
Father's Day cupcakes,Easy,Makes 12 deep cupcakes,,FALSE,FALSE,FALSE,FALSE,Cook:20 mins,,,"['150g pot natural yogurt', '3 eggs; beaten', '1 tsp vanilla extract', '175g golden caster sugar', '140g self-raising flour  (swap 1 tbsp of flour for cocoa powder)', '100g ground almond', '175g unsalted butter; melted  ', '100g chocolate  (milk or dark)', '140g unsalted butter', '140g icing sugar']",https://www.bbcgoodfood.com/recipes/next-level-fish-chips
Glazed spring carrots with tarragon & chives,Easy,Serves 4,,TRUE,FALSE,FALSE,TRUE,Prep:5 mins,Cook:20 mins,,"['450g small spring carrots or large carrots; quartered', '½ tsp white sugar', '15g butter', 'salt', '½ tsp tarragon; chopped', 'chives; ']",https://www.bbcgoodfood.com/recipes/breakfast-pancake-platter
Classic carrot cake,More effort,Cuts into 12-14 slices,,TRUE,FALSE,FALSE,FALSE,Prep:40 mins,Cook:30 mins,,"[' for the tins', '200g butter; softened', '200g light muscovado sugar', '4 eggs', '150g self-raising flour', 'spelt flour', '½ tsp bicarbonate of soda', '1 tsp ground cinnamon', 'mixed spice', '250g (about 3 medium) carrots; trimmed and coarsely grated', 'raisins', '75g light muscovado sugar', '100g pecans', '150g butter; softened', '150g icing sugar', 'full-fat soft cheese', '½ lemon; zested']",https://www.bbcgoodfood.com/recipes/dads-chocolate-drop-cakes
Butter bean & chorizo stew,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['200g cooking chorizo', '2 x 400g cans chopped tomatoes', 'drained butter beans', '1 tub fresh pesto; or 130g jar pesto']",https://www.bbcgoodfood.com/recipes/glazed-spring-carrots-with-tarragon-chives
Quick pizza dough,Easy,Makes 2 pizzas ,,TRUE,TRUE,TRUE,FALSE,Prep:20 mins,Cook:20 mins,,"['350g strong white bread flour; plus extra for dusting  ', 'fast-action dried yeast', '½ tsp caster sugar', ' of your choice']",https://www.bbcgoodfood.com/recipes/next-level-carrot-cake
Creamy chicken pasta,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:15 mins,,"['penne', '2 tsp  olive oil', '1 garlic clove; crushed', '75g  baby spinach leaves', 'soft cheese', 'parmesan', '4 cooked  chicken breasts (about 450g); shredded with a fork', '100g  frozen peas', 'small bunch of parsley or basil; chopped']",
Easy Thai prawn curry,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['vegetable oil', '1 onion; chopped ', 'fresh root ginger', 'Thai red curry paste', '400g can chopped tomatoes', '50g sachet coconut cream', '400g raw frozen prawns', ' chopped; to serve (optional)']",
Easy teriyaki chicken,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['toasted sesame oil', '6 skinless and boneless chicken thighs; sliced', '2 large garlic cloves; crushed', '1 thumb-sized piece ginger; grated', '50g runny honey', '30ml light soy sauce', 'rice wine vinegar', 'sesame seeds', '4 spring onions; shredded; to serve ', 'sticky rice; to serve ', 'steamed bok choi or spring greens; to serve']",
Honey chicken,Easy,Serves 4,,FALSE,FALSE,TRUE,FALSE,Prep:15 mins,Cook:15 mins,,"['4 chicken breasts (about 600g); trimmed and cut into 2-3cm cubes', '2 tbsp plain flour', '40g piece of ginger; peeled and finely grated', '4 garlic cloves; finely chopped', '6 tbsp soy sauce', '5 tbsp honey', '½-1 lemon; juiced', '1 tbsp sunflower; vegetable; rice bran or rapeseed oil', ' (optional)']",
Prawn & salmon burgers with spicy mayo,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:10 mins,,"['180g pack peeled raw prawns; roughly chopped', '4 skinless salmon fillets; chopped into small chunks', '3 spring onions; roughly chopped', '1 lemon; zested and juiced', 'small pack coriander', 'mayonnaise', 'chilli sauce', '2 Little Gem lettuces; shredded', 'cucumber', '1 tbsp olive oil', 'seeded burger buns']",
Asparagus & meatball orzo,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Cook:28 mins,,,"['pork meatballs', 'pack orzo', 'large bunch of asparagus; sliced in half lengthways', '200g tub crème fraîche']",
Spiced carrot & lentil soup,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:15 mins,,"['2 tsp cumin seeds', 'pinch chilli flakes', '2 tbsp olive oil', '600g carrots; washed and coarsely grated (no need to peel)', 'split red lentils', 'hot vegetable stock', ""125ml milk (to make it dairy-free; see 'try' below)"", 'plain yogurt and naan bread; to serve']",
Cheese omelette,Easy,Serves 1,,TRUE,FALSE,FALSE,TRUE,Prep:5 mins,Cook:5 mins,,"['2 eggs', '½ tbsp olive oil', '1 tbsp butter', '15g mature cheddar; finely grated ']",
Crispy sesame lemon chicken,Easy,Serves 6,,FALSE,FALSE,TRUE,FALSE,Prep:10 mins,Cook:15 mins,,"['600g chicken breast fillets; cut into 2cm pieces', 'cornflour', '5tbsp plain flour', '1tsp baking powder', 'large pinch of white pepper', '1 egg; beaten', 'sunflower or vegetable oil;', '2 spring onions; finely sliced; to serve ', ' (optional)', 'cornflour', '2 unwaxed lemons; zested and juiced', '2tbsp honey', '2tbsp soy sauce', 'sesame seeds', 'sesame oil']",
Fish tacos,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:20 mins,Cook:10 mins,,"['1 tsp ground cumin', 'ground coriander', '2 tsp smoked paprika', '2 limes', 'white fish fillets;', '¼ red cabbage', '2 large tomatoes', '2 large avocados', 'vegetable oil', 'small corn or wheat tortilla wraps', ' chopped', '1 green chilli; finely sliced; optional ', 'soured cream', ' to serve']",
Nutty chicken curry,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:6 mins,Cook:12 mins,,"['1 large red chilli; deseeded', '½ a finger-length piece fresh root ginger; roughly chopped', '1 fat garlic clove', '; stalks roughly chopped', '1 tbsp sunflower oil', '4 skinless chicken breasts; cut into chunks', '5 tbsp peanut butter', 'chicken stock', 'tub Greek yogurt']",https://www.bbcgoodfood.com/recipes/butter-bean-chorizo-stew
Mustard-stuffed chicken,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['ball mozzarella;', '50g strong cheddar; grated', '1 tbsp wholegrain mustard', '4 skinless boneless chicken breast fillets', '8 smoked streaky bacon rashers']",https://www.bbcgoodfood.com/recipes/quick-pizza-dough-2
Falafel burgers,Easy,Serves 4,,TRUE,TRUE,FALSE,FALSE,Prep:10 mins,Cook:6 mins,,"['chickpeas;', '1 small red onion; roughly chopped', '1 garlic clove; chopped ', 'handful of flat-leaf parsley  or curly parsley', '1 tsp ground cumin', 'ground coriander', '½ tsp harissa paste  or chilli powder', '2 tbsp plain flour', '2 tbsp sunflower oil', 'pitta bread;', 'tub tomato salsa;', ' to serve']",https://www.bbcgoodfood.com/recipes/creamy-chicken-pasta
Easiest ever seafood rice,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:25 mins,,"['1 tbsp olive oil', '1 leek  or onion; sliced', '110g pack chorizo  sausage; chopped', '1 tsp turmeric', '300g long grain rice', 'hot fish or chicken stock', '200g frozen peas', 'frozen seafood mix;']",https://www.bbcgoodfood.com/recipes/easy-thai-prawn-curry
Tuna & sundried tomato pasta bake,Easy,Serves 6,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:15 mins,,"['dried rigatoni', '2 x 400g cans chopped tomatoes', '4 thyme sprigs; leaves only', '300ml double cream', 'sundried tomatoes;', '198g can  no-added-salt sweetcorn; drained', '3 x 120g cans tuna in spring water; drained', '100g cheddar; grated', '50g parmesan; grated']",https://www.bbcgoodfood.com/recipes/easy-teriyaki-chicken
Spanish rice & prawn one-pot,Easy,Serves 4,,FALSE,FALSE,TRUE,FALSE,Prep:4 mins,Cook:16 mins,,"['1 onion; sliced', 'pepper;', '50g chorizo; sliced', '2 garlic cloves; crushed', '1 tbsp olive oil', '250g easy cook basmati rice (we used Tilda)', '400g can chopped tomato', '200g raw; peeled prawns; defrosted if frozen']",https://www.bbcgoodfood.com/recipes/honey-chicken
Lamb meatballs & green tahini tabbouleh,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:12 mins,,"['2 tbsp tahini', 'fat-free yogurt', '½ small bunch of  parsley', '1 lemon; juiced', '½ small garlic clove', '½ tbsp rapeseed oil', 'lean lamb meatballs', 'mixed grains', '4 cooked beetroots; chopped', '2 spring onions; sliced', 'baby tomatoes;', '50g pitted black olives; halved', 'cucumber;', '½ tbsp za’atar']",https://www.bbcgoodfood.com/recipes/prawn-salmon-burgers-spicy-mayo
Air fryer chicken thighs,Easy,Serves 4,,FALSE,FALSE,FALSE,TRUE,Prep:2 mins,Cook:25 mins,,"['1 tsp paprika', 'mixed herbs', 'garlic granules', '4 chicken thighs; bone in', '1 tsp olive oil']",https://www.bbcgoodfood.com/recipes/asparagus-meatball-orzo
Gnocchi with roasted red pepper sauce,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:2 mins,Cook:25 mins,,"['500g pack gnocchi', 'pepper sauce', 'ball mozzarella', 'breadcrumbs']",https://www.bbcgoodfood.com/recipes/spiced-carrot-lentil-soup
Baked cod with creamy mushroom & leek orzo,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['3 tbsp plain flour', '4 cod loin fillets', '2 tbsp olive oil', '1 lemon; zested and sliced', '½ small bunch of thyme', '2 leeks; sliced', '200g mushrooms; sliced', 'orzo', 'low-salt stock', '2 tbsp crème fraîche']",https://www.bbcgoodfood.com/recipes/cheese-omelette
Quick & easy Korean pork,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:15 mins,,"['500g good-quality pork belly; skin and ribs removed (you can ask your butcher to do this); carved into thin slices', '1 large lettuce; such as Little Gem or iceberg; leaves washed and separated; cooked white short-grain rice; to serve', '2 Conference pears; peeled and cored', '½ white  onion', '3 garlic cloves', 'thumb-sized piece ginger', '1 spring onion', '1 tbsp soy sauce', '2 tbsp brown sugar', 'toasted sesame oil', '2 tbsp Korean  chilli paste (or any Asian chilli paste)', 'Korean  soy bean paste', '1 ½ tbsp Korean  chilli paste', '2 tbsp mirin', 'roasted sesame oil', 'sesame seed', '½ spring onion; white part only; finely chopped']",https://www.bbcgoodfood.com/recipes/crispy-sesame-lemon-chicken
Bucatini with mushrooms & sausage,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:22 mins,,"['20g dried porcini mushrooms', '3 tbsp olive oil', 'large sausages;', 'bucatini', '4 garlic cloves; sliced', '1-2 tsp chilli flakes', 'white wine', '150ml double cream', 'grating of nutmeg', 'large handful of flat-leaf parsley; roughly chopped', 'parmesan; grated; to serve']",https://www.bbcgoodfood.com/recipes/fish-tacos-2
Speedy sausage stroganoff tagliatelle,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['20g unsalted butter', 'olive oil; for drizzling', 'pork sausages', '350g chestnut mushrooms; sliced', '1 tsp sweet smoked paprika', 'soured cream', '½ tbsp wholegrain mustard', 'beef stock', 'dried tagliatelle', 'small bunch parsley; chopped']",https://www.bbcgoodfood.com/recipes/nutty-chicken-curry
Quick sausage bolognese,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['good-quality sausages', '1 tsp fennel seed', '250g pack mushroom; sliced', 'red wine', '  (we used Loyd Grossman’s tomato &amp; chilli)', 'penne', 'grated or shaved parmesan; to serve']",https://www.bbcgoodfood.com/recipes/mustard-stuffed-chicken
Caponata pasta,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:2 mins,Cook:18 mins,,"['4 tbsp olive oil (or use the oil from your chargrilled veg; see below)', '1 large onion; finely chopped', '4 garlic cloves; finely sliced', 'chargrilled Mediterranean veg', '400g can chopped tomatoes', '1 tbsp small capers', 'raisins', 'rigatoni;', 'bunch basil leaves; picked', 'parmesan (or vegetarian alternative); shaved; to serve']",https://www.bbcgoodfood.com/recipes/falafel-burgers-0
Feel-good pasta soup,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['1 tbsp olive oil', '1 onion; chopped', '3 rosemary sprigs; chopped', '3 large garlic cloves; crushed', 'tomato purée', 'pinch of chilli flakes; plus extra to serve (optional)', '400g can chopped tomatoes', 'chickpeas;', '150g short pasta; such as tubetti or macaroni', 'vegetable or chicken stock cube', '25g parmesan; pecorino or vegetarian-style hard cheese; grated; plus a rind if you have one (see tip; below)', '150g kale; spinach or cavolo nero; tough stalks removed and roughly  chopped', '1 lemon; zested; plus a squeeze of juice', '2 tbsp extra virgin olive oil']",https://www.bbcgoodfood.com/recipes/easiest-ever-paella
Creamy courgette & bacon pasta,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['1 tsp olive oil', '150g diced pancetta or smoked bacon lardons', '4 courgettes; coarsely grated', '1 garlic clove; crushed', 'handful freshly grated parmesan', '1 small tub (200g) low-fat crème fraîche', 'tagliatelle']",https://www.bbcgoodfood.com/recipes/tuna-sundried-tomato-pasta-bake
Baked camembert pasta alfredo,Easy,Serves 2 - 3,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:25 mins,,"['camembert', '2 small garlic cloves; thinly sliced', '2 rosemary sprigs; leaves picked', '3 tbsp olive oil', 'tagliatelle', '200ml double cream', '2 large handfuls of  baby spinach leaves', '3 tbsp grated parmesan', '4 slices prosciutto; torn']",https://www.bbcgoodfood.com/recipes/spanish-rice-prawn-one-pot
Pea & ham pasta,Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:9 mins,Cook:10 mins,,"['conchiglione pasta', 'podded peas', '1 tbsp olive oil', '1 red onion; finely chopped', 'ham', '150ml double cream', '½ lemon; juiced', '40g parmesan; grated; plus extra to serve']",https://www.bbcgoodfood.com/recipes/lamb-meatballs-green-tahini-tabbouleh
Bacon & mushroom pasta,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:20 mins,,"['penne', '250g  pack chestnut or button mushrooms; wiped clean', '8  rashers streaky bacon', '4 tbsp pesto (fresh from the chiller cabinet if possible)', '200ml carton 50% fat crème fraîche', 'handful basil leaves']",https://www.bbcgoodfood.com/recipes/air-fryer-chicken-thighs
Cheesy broccoli pasta bake,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['penne', '280g broccoli; cut into florets', '25g butter', '25g plain flour', '300ml milk', '1 tbsp wholegrain mustard', '140g mature cheddar; grated']",https://www.bbcgoodfood.com/recipes/gnocchi-roasted-red-pepper-sauce
