,title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
28,Chicken satay salad,Easy,Serves 2,A star rating of 4.8 out of 5.,195 ratings,False,False,False,False,False,Prep:15 mins,Cook:5 mins - 10 mins,,"chicken breast,curry powder,peanut butter,garlic,honey,cucumber,ground cumin,lettuce,lime juice",https://www.bbcgoodfood.com/recipes/chicken-satay-salad
29,Toad-in-the-hole,Easy,Serves 4,A star rating of 4.3 out of 5.,396 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"egg,flour,milk",https://www.bbcgoodfood.com/recipes/sams-toad-hole
30,Best Yorkshire puddings,Easy,Makes 8 large puds or 24 small,A star rating of 4.8 out of 5.,1038 ratings,True,False,False,False,False,Prep:5 mins,Cook:20 mins,,"egg,flour,milk",https://www.bbcgoodfood.com/recipes/best-yorkshire-puddings
31,Butternut squash & sage risotto,Easy,Serves 4,A star rating of 4.8 out of 5.,496 ratings,True,False,False,False,False,Prep:10 mins,Cook:40 mins,,"white wine,onion,butter,sage,rice,olive oil",https://www.bbcgoodfood.com/recipes/butternut-squash-sage-risotto
32,Chicken pasta bake,Easy,Serves 6,A star rating of 4.6 out of 5.,555 ratings,False,False,False,False,False,Prep:30 mins,Cook:45 mins,,"chopped tomatoes,chicken breast,sugar,penne,onion,garlic,mascarpone,parsley,olive oil",https://www.bbcgoodfood.com/recipes/chicken-pasta-bake
33,One-pan salmon with roast asparagus,Easy,Serves 2,A star rating of 4.7 out of 5.,486 ratings,False,False,False,False,False,Prep:20 mins,Cook:50 mins,,"tomato,vinegar,asparagus,salmon,potato,basil,olive oil",https://www.bbcgoodfood.com/recipes/one-pan-salmon-roast-asparagus
34,Chorizo & mozzarella gnocchi bake,Easy,Serves 6,A star rating of 4.7 out of 5.,499 ratings,False,False,False,False,False,Prep:10 mins,Cook:25 mins,,"gnocchi,tomato,sugar,onion,garlic,basil,olive oil",https://www.bbcgoodfood.com/recipes/chorizo-mozzarella-gnocchi-bake
35,Broccoli & stilton soup,Easy,Serves 4,A star rating of 4.8 out of 5.,415 ratings,False,False,False,False,False,Prep:10 mins,Cook:35 mins,,"chicken,leek,cheese,onion,butter,celery,potato,broccoli",https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup
36,Chicken & mushroom puff pie,Easy,Serves 4 - 6,A star rating of 4.8 out of 5.,427 ratings,False,False,False,False,False,Prep:45 mins,Cook:30 mins,,"chicken stock,egg,onion,milk,thyme,flour,vegetable oil,chicken thigh,mushroom,puff pastry",https://www.bbcgoodfood.com/recipes/chicken-mushroom-puff-pie
37,Slow-cooker beef stew,Easy,Serves 4,A star rating of 4.8 out of 5.,423 ratings,False,False,False,False,False,Prep:20 mins,Cook:4 hrs,,"beef,onion,thyme,bay leaf,parsley,tomato purée,flour,celery,carrot",https://www.bbcgoodfood.com/recipes/slow-cooker-beef-stew
38,"Chicken, sweet potato & coconut curry",Easy,Serves 2 adults and 2 children,A star rating of 4.5 out of 5.,541 ratings,False,False,False,False,False,Total time35 mins,,,"chicken stock,chicken breast,peas,curry paste,coconut milk,sweet potato,lentils",https://www.bbcgoodfood.com/recipes/chicken-sweet-potato-coconut-curry
39,Spanakopita,Easy,Serves 4,A star rating of 4.7 out of 5.,455 ratings,True,False,False,False,False,Prep:10 mins,Cook:30 mins,,"egg,spinach,feta cheese,tomato",https://www.bbcgoodfood.com/recipes/crispy-greek-style-pie
40,Chinese chicken curry,Easy,Serves 4,A star rating of 4.7 out of 5.,452 ratings,False,False,False,False,False,Prep:15 mins,Cook:40 mins,,"chicken stock,chicken breast,peas,curry powder,sugar,ginger,turmeric,onion,garlic,flour,soy sauce,rice",https://www.bbcgoodfood.com/recipes/chinese-chicken-curry
41,Strawberry cheesecake in 4 easy steps,Easy,Serves 12 - 14,A star rating of 4.5 out of 5.,476 ratings,False,False,False,False,False,Prep:30 mins,,,"cheese,sugar,cream,butter,vanilla",https://www.bbcgoodfood.com/recipes/strawberry-cheesecake-4-easy-steps
42,Easy sausage casserole,Easy,Serves 4 - 6,A star rating of 4.7 out of 5.,416 ratings,False,False,False,False,False,Prep:15 mins,Cook:1 hr,,"chicken stock,chopped tomatoes,paprika,pepper,pork sausages,white wine,onion,garlic,thyme,sage,celery,ground cumin,chives",https://www.bbcgoodfood.com/recipes/sausage-bean-casserole
43,Smoked haddock & leek risotto,Easy,Serves 4,A star rating of 4.7 out of 5.,388 ratings,False,False,False,False,False,Prep:5 mins,Cook:35 mins,,"leek,spinach,crème fraîche,milk,butter,rice",https://www.bbcgoodfood.com/recipes/smoked-haddock-leek-risotto
44,Tomato soup,Easy, serves 4 for lunch or 6 as a starter,A star rating of 4.6 out of 5.,401 ratings,True,True,False,False,False,Total time1 hr and 45 mins,,,"tomato,sugar,onion,bay leaf,tomato purée,celery,carrot,olive oil",https://www.bbcgoodfood.com/recipes/tomato-soup
45,Family meals: Easy fish pie recipe,Easy,Serves a family of 4-6 or makes 6-8 toddler meals,A star rating of 4.7 out of 5.,381 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"mustard,corn,milk,spring onion,butter,flour,potato,chives",https://www.bbcgoodfood.com/recipes/family-meals-easy-fish-pie-recipe
46,Chickpea curry,Easy,Serves 4,A star rating of 4.7 out of 5.,380 ratings,True,True,False,False,True,Prep:15 mins,Cook:25 mins,,"chopped tomatoes,ginger,spinach,onion,garlic,cream,tomato purée,coriander,chickpeas,ground cumin,rice",https://www.bbcgoodfood.com/recipes/kadala-curry
47,Fish pie - in four steps,Easy,Serves 4,A star rating of 4.8 out of 5.,350 ratings,False,False,False,False,False,Prep:45 mins,Cook:30 mins,,"egg,onion,milk,bay leaf,parsley,nutmeg,butter,flour,potato",https://www.bbcgoodfood.com/recipes/fish-pie-four-steps
48,Chicken jalfrezi,Easy,Serves 4,A star rating of 4.5 out of 5.,442 ratings,False,False,False,False,True,Prep:10 mins,Cook:1 hr,,"chicken breast,tomato,pepper,turmeric,onion,garlic,coriander,ground cumin,rice,red chilli",https://www.bbcgoodfood.com/recipes/chicken-jalfrezi
49,Leek & potato soup,Easy,Serves 6 - 8,A star rating of 4.8 out of 5.,342 ratings,True,False,False,False,False,Prep:20 mins,Cook:25 mins,,"chicken,leek,onion,milk,cream,butter,potato,chives",https://www.bbcgoodfood.com/recipes/leek-potato-soup
50,Easy risotto with bacon & peas,Easy,Serves 4,A star rating of 4.7 out of 5.,355 ratings,False,False,False,False,False,Prep:5 mins,Cook:40 mins,,"peas,onion,butter,rice,olive oil",https://www.bbcgoodfood.com/recipes/easy-risotto-bacon-peas
51,Mushroom risotto,Easy,Serves 4,A star rating of 4.7 out of 5.,369 ratings,True,False,False,False,False,Prep:5 mins,Cook:25 mins,,"white wine,onion,garlic,parsley,butter,rice,mushroom,olive oil",https://www.bbcgoodfood.com/recipes/mushroom-risotto
52,Thai pork & peanut curry,Easy,Serves 4,A star rating of 4.8 out of 5.,328 ratings,False,False,False,False,False,Prep:10 mins,Cook:30 mins,,"brown sugar,peanut butter,curry paste,corn,spring onion,coconut milk,vegetable oil,coriander,soy sauce,pork,rice",https://www.bbcgoodfood.com/recipes/thai-pork-peanut-curry
53,"Sea bass with sizzled ginger, chilli & spring onions",Easy,Serves 6,A star rating of 4.8 out of 5.,311 ratings,False,False,True,False,False,Prep:15 mins,Cook:10 mins,,"ginger,garlic,spring onion,soy sauce,red chilli",https://www.bbcgoodfood.com/recipes/sea-bass-sizzled-ginger-chilli-spring-onions
54,Sausage ragu,Easy,Serves 4,A star rating of 4.5 out of 5.,390 ratings,False,False,False,False,False,Prep:5 mins,Cook:45 mins,,"chopped tomatoes,brown sugar,pork sausages,onion,garlic,rosemary,milk,parsley,olive oil",https://www.bbcgoodfood.com/recipes/sausage-ragu
